epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,64367,0.82552,0.56374,1.22343,0.89884,0.91821,0.93123,0.71584,1.08764,0.57136,1.50011,0.00673075,0.00673075,0.00673075
157,64766.4,0.82126,0.54622,1.22236,0.88867,0.91775,0.92322,0.71489,1.09537,0.55999,1.51578,0.00669385,0.00669385,0.00669385
158,65130.6,0.82594,0.56297,1.2341,0.88507,0.91654,0.92873,0.71463,1.09766,0.55126,1.52175,0.00665686,0.00665686,0.00665686
159,65501.3,0.80722,0.54381,1.21532,0.89013,0.92111,0.93114,0.71658,1.09564,0.56944,1.51392,0.00661976,0.00661976,0.00661976
160,65867.1,0.81592,0.55972,1.22127,0.88646,0.92446,0.91585,0.69959,1.10755,0.60455,1.51567,0.00658256,0.00658256,0.00658256
161,66271.3,0.82986,0.55657,1.22067,0.89557,0.9198,0.92325,0.70657,1.12216,0.59043,1.53721,0.00654526,0.00654526,0.00654526
162,66531.8,0.8135,0.56278,1.22158,0.89238,0.91463,0.9204,0.70349,1.11209,0.5866,1.54056,0.00650786,0.00650786,0.00650786
163,66765.9,0.82805,0.55157,1.22906,0.88666,0.93199,0.93123,0.71297,1.10392,0.57243,1.52919,0.00647038,0.00647038,0.00647038
164,67258.9,0.81481,0.55408,1.22746,0.90681,0.91548,0.93169,0.71617,1.10024,0.56691,1.53171,0.0064328,0.0064328,0.0064328
165,67930.2,0.79422,0.53402,1.19701,0.91558,0.93154,0.94746,0.73339,1.09867,0.5287,1.53036,0.00639514,0.00639514,0.00639514
166,68253.2,0.82534,0.57842,1.22382,0.91494,0.91307,0.93923,0.72558,1.11041,0.53024,1.54809,0.00635738,0.00635738,0.00635738
167,68518.2,0.81812,0.54299,1.21813,0.91529,0.9093,0.93661,0.72223,1.10234,0.54958,1.53851,0.00631955,0.00631955,0.00631955
168,68826.2,0.82262,0.54459,1.22278,0.90346,0.93057,0.93198,0.71282,1.11459,0.56807,1.54694,0.00628163,0.00628163,0.00628163
169,69473,0.81912,0.54467,1.21109,0.88678,0.93728,0.93125,0.70891,1.12525,0.56946,1.55482,0.00624364,0.00624364,0.00624364
170,69738.9,0.8009,0.53601,1.20292,0.88838,0.92258,0.91998,0.69872,1.12925,0.59446,1.55529,0.00620557,0.00620557,0.00620557
171,70033.3,0.80721,0.54388,1.20792,0.90004,0.91889,0.92121,0.70357,1.12356,0.5881,1.55259,0.00616742,0.00616742,0.00616742
172,70756.5,0.78949,0.53234,1.20069,0.89954,0.92355,0.92495,0.7058,1.12248,0.57995,1.55689,0.0061292,0.0061292,0.0061292
173,71143.6,0.79625,0.53389,1.19298,0.91622,0.92158,0.93615,0.71708,1.12225,0.57294,1.55762,0.00609091,0.00609091,0.00609091
174,71366.6,0.78694,0.51888,1.18428,0.8955,0.92525,0.92405,0.70521,1.12497,0.60427,1.55712,0.00605256,0.00605256,0.00605256
175,71924.6,0.79513,0.53153,1.20298,0.9056,0.92859,0.92889,0.7101,1.12499,0.59959,1.5585,0.00601414,0.00601414,0.00601414
176,72367.3,0.80437,0.5392,1.20338,0.89281,0.9326,0.93175,0.7144,1.12169,0.58341,1.54609,0.00597565,0.00597565,0.00597565
177,72647.3,0.80537,0.53188,1.21215,0.89887,0.91901,0.93105,0.71188,1.12132,0.56815,1.54683,0.00593711,0.00593711,0.00593711
178,72924.5,0.80246,0.52747,1.20699,0.91823,0.90669,0.92998,0.71234,1.1294,0.5689,1.55544,0.00589851,0.00589851,0.00589851
179,73713,0.78466,0.52958,1.19429,0.91377,0.90762,0.9266,0.70879,1.11715,0.58939,1.54773,0.00585985,0.00585985,0.00585985
